@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
1,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,1.733471,2.2918794,0.20393626,-0.6036348,-0.7903111,-0.44004375,-2.9609761,0.41599643,0
1,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,2.5849292,3.67695,1.4825472,-1.2473104,-0.36048466,0.20580448,0.16628894,-0.9043355,0
1,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,1.4870582,2.0164523,0.7801434,-1.3219659,-0.67981356,-0.88708204,-2.5886025,0.51301426,0
1,4,0.0,-0.2,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.4778677,2.3794127,1.7675474,-0.5898088,1.4733741,-1.3961229,-0.53765035,0.24795637,0
1,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,1.8775,3.4022088,1.6056608,-0.0393255,-0.4233575,-1.984459,-0.9575119,-0.76941746,0
1,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.2460794,1.5983167,2.449975,-0.5808413,-0.089363605,-1.6817067,-2.0053265,-1.1040041,0
1,8,0.0,-0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,2.5694506,4.304561,0.35426158,-0.858732,0.0025761179,0.63249165,0.11721701,-0.90531385,0
1,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,3.2377694,5.3495297,4.041537,-0.35133368,6.338212,-4.305193,0.060489733,-2.8006887,0
1,10,0.0,0.2,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,0.872144,2.456052,0.34427196,-1.4096929,1.2525151,-1.5264201,-1.3416847,0.087824956,0
1,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.051523596,-0.026845276,0.024926238,0.004307024,0.011932902,0.028038047,-0.04588074,-0.015954934,0
