@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Embedding_Feature_8 NUMERIC
@ATTRIBUTE Embedding_Feature_9 NUMERIC
@ATTRIBUTE Embedding_Feature_10 NUMERIC
@ATTRIBUTE Embedding_Feature_11 NUMERIC
@ATTRIBUTE Embedding_Feature_12 NUMERIC
@ATTRIBUTE Embedding_Feature_13 NUMERIC
@ATTRIBUTE Embedding_Feature_14 NUMERIC
@ATTRIBUTE Embedding_Feature_15 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
1,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,0.37011933,0.18644889,0.62264556,0.0037083894,-1.2242835,0.6244337,-0.21152656,-0.31734353,-0.90791875,-1.506795,-0.8207617,1.9301594,1.0474155,0.060404252,1.0652263,-0.75032884,0
1,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,0.69965196,-0.7390499,2.0505016,-0.67914414,-0.7923895,-0.35468096,1.4863365,0.35829487,-1.7600756,-1.7292875,-0.016145384,2.3977559,0.9330058,-2.199834,-0.5937593,-1.4012299,0
1,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,0.3421643,-0.620151,1.09802,-0.76913226,-0.77160615,-0.23444097,-0.1376624,-1.2990555,-1.178095,-1.1489009,-0.61872536,1.9862067,0.19106355,0.4303835,0.30096036,-1.6555039,0
1,4,0.0,-0.2,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.6867207,0.39041585,1.8322606,0.41122636,-1.3219012,0.093689635,1.3591554,0.7003972,-0.6549951,-0.7166506,-0.8656154,1.9227334,-0.76886356,0.40327787,0.37860638,-0.42774603,0
1,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,1.5055498,0.65899104,1.6329007,-1.445367,-1.4190189,0.8696817,0.58495265,-0.113950826,-0.86332387,-1.5886551,0.34783897,1.1179298,0.8658647,-0.571353,-0.011575461,-0.16510922,0
1,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.5530385,0.30979222,1.2157542,-0.20570736,-1.6899663,0.9291461,-0.19420066,-0.47333476,-0.9251285,-1.1452026,0.11806449,0.8405806,-0.9708646,-0.78547585,0.9462208,-1.5976573,0
1,8,0.0,-0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,0.08256072,-0.5037183,0.6532889,-1.9383732,-1.9641436,0.74384254,0.96289814,-0.061273172,-1.7528524,-0.27277008,-0.16671409,2.0104957,0.7052616,-0.95623684,-1.0753447,0.12827195,0
1,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.2796721,3.3703601,2.0799901,-0.9392611,-2.5293024,-0.78101516,-0.5491527,-2.7588909,-2.1817443,0.8425811,0.24291186,4.038865,0.44973248,-1.685365,0.6093224,-2.2261064,0
1,10,0.0,0.2,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,-0.57570535,0.27176043,1.0296184,-1.3908869,-0.41342476,0.19998729,0.45124048,0.3405114,-2.275965,-0.4264871,-0.7783352,1.2986435,-0.273914,-0.5593335,0.6173231,-0.23396552,0
1,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.027964462,-0.009986199,-0.026014417,-0.020090014,-0.02326084,-0.0032100454,-0.008181408,0.01711139,0.02152985,-0.026453681,-0.004026793,-0.009294957,0.010405622,0.016221397,0.018383577,-0.01398558,0
1,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,0.8765325,0.3277041,0.8456137,-0.2524867,-1.6383467,-0.70689166,0.72912425,-0.71148294,-1.3954077,-0.93310064,-0.2146672,0.892784,-1.0864661,-0.93367696,-0.19962177,-0.6967725,0
1,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,1.353619,0.2780445,1.0172164,-1.6168199,-3.155406,-0.9077243,2.074566,2.3157394,-2.4364498,-0.26535714,1.8398582,2.240132,-1.6594905,-0.5724752,-0.19126308,-1.4234251,0
