@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Embedding_Feature_8 NUMERIC
@ATTRIBUTE Embedding_Feature_9 NUMERIC
@ATTRIBUTE Embedding_Feature_10 NUMERIC
@ATTRIBUTE Embedding_Feature_11 NUMERIC
@ATTRIBUTE Embedding_Feature_12 NUMERIC
@ATTRIBUTE Embedding_Feature_13 NUMERIC
@ATTRIBUTE Embedding_Feature_14 NUMERIC
@ATTRIBUTE Embedding_Feature_15 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
2,10,0.0,0.3,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,0.8634246,1.6987135,0.79630226,-0.8570091,1.2020822,-0.8944345,0.9543648,0.54657876,-1.9820033,0.07978113,-0.2021263,0.0064089554,-0.5675491,-0.8895907,0.9292151,-0.56534284,0
2,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.008190259,-0.0029684696,-0.018843181,0.019394081,0.00046050176,-0.021582399,-0.00432943,0.011103902,0.030627534,0.03051465,0.025511391,0.005084645,0.0052699856,-0.0052251574,-0.011619223,-0.00689674,0
2,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,1.4599887,1.6766838,-0.62709206,-0.88002485,0.80556095,-0.45853198,-0.049825158,-0.55742204,-1.8163619,-0.646539,0.5993416,0.77518755,-0.6902972,-0.91744345,0.32194313,-0.46892694,0
2,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,3.0201106,0.7872475,0.5916332,-2.3005064,-0.52261126,-1.7056478,2.4095826,0.9514283,-2.4141986,-1.7384657,0.6606364,0.35193047,-3.7025032,-2.2124643,1.1968434,-2.6740746,0
2,14,0.0,-0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,0.3381618,1.6853012,-0.25579372,-0.664904,-1.3474637,-0.39054167,0.031630985,0.1996677,-1.4029871,1.0040376,-0.087583564,0.3464071,-0.21729714,0.15345044,0.77748615,0.49193928,0
2,15,1.0,0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,-0.029479833,-0.0054610837,-0.0076922197,0.0074649304,0.017020006,0.0069110654,-0.021004431,0.0038662143,0.005387552,0.0140700005,-0.0116318315,-0.006276287,0.012221944,-0.001454927,0.01959169,0.022483122,0
2,16,1.0,-0.2,13.08,6.0,0.0,0.0,0.0,0.0,0.0,-0.011003792,-0.027781244,0.013769157,0.027197298,0.0143770315,-0.00056220964,0.018823382,-0.018103316,0.0026537701,-0.028521156,0.027852952,-0.0058407225,-0.008362448,-0.0112962,0.009635642,-0.012741242,0
2,17,0.0,0.2,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,1.6038702,0.7511891,-1.3624957,-0.7208234,-0.2586003,-0.36101323,1.6051158,-0.20369859,-1.3563089,-1.6323493,0.03643925,1.5543814,-0.7745785,-1.0386726,0.80880344,-1.3526131,0
2,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,1.222268,-0.234489,2.0094032,-2.1449258,0.76974034,-0.29949644,-0.30885378,3.108652,-2.7337184,-1.3483229,0.5816466,1.396832,-5.4066324,-0.42399925,4.958238,-1.8160535,0
2,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,-0.03093721,-0.021058258,-0.014042415,-0.026708057,0.0118061565,0.0050854012,-0.02793584,0.028330795,0.011377089,-0.0009146035,0.020278446,-0.0071072895,-0.031118419,0.02442097,-0.01891668,-0.031200157,0
